intra,HB,cg,1050,1219,1314,1409,1550,1609
17.6,169.7,521.2,3.5315134634995573,3.587730201656429,3.4471087391419175,7.258480337340053,6.268028099630669,4.909929303577044
11.6,62.2,717.1,3.0781885906928235,3.380098351649961,3.3360679148307586,8.421451755757136,6.027085586383709,4.870868217808532
6.4,16.6,170.0,3.391299623849747,3.8848427275622637,3.697650834295075,7.896141381254189,5.790988323056432,4.682812292693228
14.1,170.8,161.7,5.112704880672322,4.396461848018198,4.161132035129196,9.16118901675134,5.446609091717338,4.4587750052990245
17.7,35.8,366.7,2.7278358209208555,3.2915794734157355,3.255115222213483,7.441923311215685,5.970467815643186,4.947051766209633
14.4,126.0,356.3,4.018640315361264,4.023998569201783,3.8358738846980707,7.59102777187087,5.991941213437016,4.707691250336584
8.2,152.3,155.5,4.969008777112329,4.355296816210142,4.049359838610023,8.938181578992431,5.531267109193902,4.393779476169396
18.3,11.5,162.7,3.5267669044963466,3.8166562399374513,3.8272486678547732,10.695649169682646,5.751062602521291,4.639880137742573
14.0,113.1,132.8,5.047025117561727,4.220454022033554,4.011018595541614,8.54708582866095,5.1283792775933605,4.306106741539551
15.7,1.5,704.2,2.4939158283181424,3.144656683312954,3.147860116072861,6.81296627996986,6.001754932767483,4.921192273394478
